iter	Passed	Remaining
1445	14307	84637
1446	14316	84624
1447	14326	84614
1448	14337	84608
1449	14346	84597
1450	14356	84585
1451	14366	84573
1452	14375	84563
1453	14385	84549
1454	14394	84535
1455	14403	84521
1456	14413	84510
1457	14423	84501
1458	14432	84486
1459	14441	84471
1460	14451	84463
1461	14460	84446
1462	14469	84433
1463	14478	84420
1464	14487	84403
1465	14497	84391
1466	14506	84377
1467	14515	84366
1468	14524	84351
1469	14534	84338
1470	14543	84325
1471	14553	84316
1472	14564	84309
1473	14574	84301
1474	14584	84292
1475	14593	84279
1476	14603	84267
1477	14612	84257
1478	14622	84243
1479	14631	84232
1480	14641	84222
1481	14651	84209
1482	14661	84199
1483	14670	84188
1484	14680	84175
1485	14690	84167
1486	14699	84155
1487	14708	84140
1488	14718	84127
1489	14727	84113
1490	14735	84096
1491	14744	84081
1492	14753	84065
1493	14763	84055
1494	14772	84042
1495	14781	84027
1496	14790	84012
1497	14800	84000
1498	14809	83986
1499	14819	83974
1500	14829	83966
1501	14839	83958
1502	14862	84022
1503	14872	84012
1504	14882	84004
1505	14892	83995
1506	14901	83981
1507	14910	83965
1508	14919	83950
1509	14928	83933
1510	14937	83919
1511	14946	83906
1512	14955	83891
1513	14965	83879
1514	14974	83865
1515	14982	83848
1516	14991	83832
1517	15000	83819
1518	15010	83806
1519	15019	83792
1520	15028	83780
1521	15038	83767
1522	15049	83764
1523	15059	83756
1524	15069	83744
1525	15079	83736
1526	15089	83727
1527	15098	83716
1528	15108	83704
1529	15117	83692
1530	15126	83675
1531	15135	83662
1532	15145	83650
1533	15154	83636
1534	15163	83623
1535	15172	83608
1536	15182	83596
1537	15191	83585
1538	15200	83569
1539	15209	83555
1540	15219	83543
1541	15229	83532
1542	15239	83523
1543	15248	83509
1544	15258	83503
1545	15269	83498
1546	15278	83484
1547	15289	83477
1548	15298	83465
1549	15308	83457
1550	15319	83450
1551	15329	83443
1552	15339	83435
1553	15349	83422
1554	15357	83406
1555	15366	83391
1556	15376	83378
1557	15385	83364
1558	15394	83350
1559	15403	83334
1560	15411	83319
1561	15421	83306
1562	15430	83292
1563	15439	83279
1564	15449	83268
1565	15458	83252
1566	15468	83243
1567	15478	83234
1568	15488	83227
1569	15498	83220
1570	15509	83214
1571	15519	83206
1572	15529	83197
1573	15539	83187
1574	15549	83176
1575	15559	83168
1576	15568	83154
1577	15577	83139
1578	15586	83126
1579	15596	83114
1580	15605	83100
1581	15614	83087
1582	15623	83071
1583	15632	83057
1584	15641	83044
1585	15650	83028
1586	15659	83016
1587	15669	83005
1588	15678	82992
1589	15688	82979
1590	15698	82971
1591	15711	82979
1592	15725	82992
1593	15735	82980
1594	15745	82971
1595	15755	82960
1596	15764	82950
1597	15774	82938
1598	15783	82923
1599	15792	82908
1600	15801	82895
1601	15810	82880
1602	15819	82866
1603	15828	82852
1604	15837	82840
1605	15857	82882
1606	15868	82876
1607	15877	82864
1608	15888	82861
1609	15897	82847
1610	15907	82834
1611	15917	82824
1612	15927	82818
1613	15938	82814
1614	15949	82807
1615	15958	82796
1616	15968	82787
1617	15978	82775
1618	15988	82765
1619	15996	82749
1620	16005	82732
1621	16013	82715
1622	16023	82703
1623	16031	82687
1624	16041	82673
1625	16050	82659
1626	16059	82645
1627	16068	82634
1628	16078	82620
1629	16086	82605
1630	16097	82599
1631	16106	82587
1632	16116	82576
1633	16127	82570
1634	16140	82578
1635	16160	82618
1636	16173	82627
1637	16191	82657
1638	16200	82642
1639	16209	82629
1640	16218	82613
1641	16227	82598
1642	16236	82586
1643	16245	82572
1644	16255	82559
1645	16264	82547
1646	16273	82533
1647	16282	82520
1648	16293	82512
1649	16302	82502
1650	16312	82489
1651	16322	82484
1652	16332	82474
1653	16345	82478
1654	16360	82492
1655	16370	82484
1656	16380	82476
1657	16390	82466
1658	16399	82453
1659	16409	82443
1660	16418	82428
1661	16427	82414
1662	16436	82400
1663	16445	82387
1664	16457	82387
1665	16466	82374
1666	16477	82365
1667	16487	82357
1668	16499	82357
1669	16517	82388
